DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
15;BOYACÁ;15638;SÁCHICA;2;BARRIDO;BOYACÁ;SI
23;CÓRDOBA;23660;SAHAGÚN;2;BARRIDO;CÓRDOBA;SI
41;HUILA;41660;SALADOBLANCO;2;BARRIDO;HUILA;SI
17;CALDAS;17653;SALAMINA;2;BARRIDO;CALDAS;SI
47;MAGDALENA;47675;SALAMINA;2;BARRIDO;MAGDALENA;NO
73;TOLIMA;73671;SALDAÑA;2;BARRIDO;TOLIMA;SI
63;QUINDIO;63690;SALENTO;2;BARRIDO;QUINDIO;SI
15;BOYACÁ;15646;SAMACÁ;2;BARRIDO;BOYACÁ;SI
17;CALDAS;17662;SAMANÁ;2;BARRIDO;CALDAS;SI
52;NARIÑO;52678;SAMANIEGO;2;BARRIDO;NARIÑO;SI
70;SUCRE;70670;SAMPUÉS;2;BARRIDO;SUCRE;SI
41;HUILA;41668;SAN AGUSTÍN;2;BARRIDO;HUILA;SI
20;CESAR;20710;SAN ALBERTO;2;BARRIDO;CESAR;SI
23;CÓRDOBA;23670;SAN ANDRÉS DE SOTAVENTO;2;BARRIDO;CÓRDOBA;NO
52;NARIÑO;52835;SAN ANDRÉS DE TUMACO;2;MIXTO;NARIÑO;NO
23;CÓRDOBA;23672;SAN ANTERO;2;BARRIDO;CÓRDOBA;NO
73;TOLIMA;73675;SAN ANTONIO;2;BARRIDO;TOLIMA;SI
70;SUCRE;70678;SAN BENITO ABAD;2;BARRIDO;SUCRE;SI
52;NARIÑO;52685;SAN BERNARDO;2;BARRIDO;NARIÑO;SI
23;CÓRDOBA;23675;SAN BERNARDO DEL VIENTO;2;BARRIDO;CÓRDOBA;SI
23;CÓRDOBA;23678;SAN CARLOS;2;BARRIDO;CÓRDOBA;SI
50;META;50680;SAN CARLOS DE GUAROA;2;BARRIDO;META;SI
20;CESAR;20750;SAN DIEGO;2;BARRIDO;CESAR;SI
15;BOYACÁ;15660;SAN EDUARDO;2;BARRIDO;BOYACÁ;SI
86;PUTUMAYO;86755;SAN FRANCISCO;2;BARRIDO;PUTUMAYO;SI
17;CALDAS;17665;SAN JOSÉ;2;BARRIDO;CALDAS;SI
15;BOYACÁ;15664;SAN JOSÉ DE PARE;2;BARRIDO;BOYACÁ;SI
23;CÓRDOBA;23682;SAN JOSÉ DE URÉ;2;BARRIDO;CÓRDOBA;SI
18;CAQUETÁ;18610;SAN JOSÉ DEL FRAGUA;2;BARRIDO;CAQUETÁ;SI
50;META;50683;SAN JUAN DE ARAMA;2;BARRIDO;META;SI
70;SUCRE;70702;SAN JUAN DE BETULIA;2;BARRIDO;SUCRE;SI
44;LA GUAJIRA;44650;SAN JUAN DEL CESAR;2;MIXTO;LA GUAJIRA;SI
52;NARIÑO;52687;SAN LORENZO;2;BARRIDO;NARIÑO;SI
73;TOLIMA;73678;SAN LUIS;2;BARRIDO;TOLIMA;SI
15;BOYACÁ;15667;SAN LUIS DE GACENO;2;BARRIDO;BOYACÁ;SI
85;CASANARE;85325;SAN LUIS DE PALENQUE;2;BARRIDO;CASANARE;SI
70;SUCRE;70742;SAN LUIS DE SINCÉ;2;BARRIDO;SUCRE;SI
70;SUCRE;70708;SAN MARCOS;2;BARRIDO;SUCRE;SI
20;CESAR;20770;SAN MARTÍN;2;BARRIDO;CESAR;SI
50;META;50689;SAN MARTÍN;2;BARRIDO;META;SI
15;BOYACÁ;15673;SAN MATEO;2;BARRIDO;BOYACÁ;SI
86;PUTUMAYO;86757;SAN MIGUEL;2;BARRIDO;PUTUMAYO;SI
15;BOYACÁ;15676;SAN MIGUEL DE SEMA;2;BARRIDO;BOYACÁ;SI
70;SUCRE;70713;SAN ONOFRE;2;BARRIDO;SUCRE;SI
52;NARIÑO;52693;SAN PABLO;2;BARRIDO;NARIÑO;SI
15;BOYACÁ;15681;SAN PABLO DE BORBUR;2;BARRIDO;BOYACÁ;SI
70;SUCRE;70717;SAN PEDRO;2;BARRIDO;SUCRE;SI
52;NARIÑO;52694;SAN PEDRO DE CARTAGO;2;BARRIDO;NARIÑO;SI
23;CÓRDOBA;23686;SAN PELAYO;2;BARRIDO;CÓRDOBA;SI
19;CAUCA;19693;SAN SEBASTIÁN;2;BARRIDO;CAUCA;SI
47;MAGDALENA;47692;SAN SEBASTIÁN DE BUENAVISTA;2;BARRIDO;MAGDALENA;SI
73;TOLIMA;73443;SAN SEBASTIÁN DE MARIQUITA;2;BARRIDO;TOLIMA;SI
47;MAGDALENA;47703;SAN ZENÓN;2;BARRIDO;MAGDALENA;SI
52;NARIÑO;52683;SANDONÁ;2;BARRIDO;NARIÑO;SI
47;MAGDALENA;47707;SANTA ANA;2;BARRIDO;MAGDALENA;NO
47;MAGDALENA;47720;SANTA BÁRBARA DE PINTO;2;BARRIDO;MAGDALENA;NO
73;TOLIMA;73686;SANTA ISABEL;2;BARRIDO;TOLIMA;SI
15;BOYACÁ;15690;SANTA MARÍA;2;BARRIDO;BOYACÁ;SI
41;HUILA;41676;SANTA MARÍA;2;BARRIDO;HUILA;SI
47;MAGDALENA;47001;SANTA MARTA;2;MIXTO;MAGDALENA;SI
