ID_DEPTO;DEPARTAMENTO;ID_MPIO;MUNICIPIO;MÉTODO;FASE;"TRANSMITIDAS
A";"NOTIFICADAS
B";% TRANSMISIÓN (A/B);REPORTE INICIO DE OPERACIÓN CONAL 30/05;;;
05;ANTIOQUIA;5091;BETANIA;BARRIDO;2;1223;1471;83,14%;SI;;;
05;ANTIOQUIA;5107;BRICEÑO;BARRIDO;2;227;273;83,15%;SI;;;
66;RISARALDA;66088;BELÉN DE UMBRÍA;BARRIDO;3;1594;1917;83,15%;SI;;;
15;BOYACÁ;15676;SAN MIGUEL DE SEMA;BARRIDO;3;292;351;83,19%;SI;;;
25;CUNDINAMARCA;25288;FÚQUENE;BARRIDO;2;550;661;83,21%;SI;;;
68;SANTANDER;68385;LANDÁZURI;BARRIDO;2;897;1078;83,21%;SI;;;
15;BOYACÁ;15514;PÁEZ;BARRIDO;3;229;275;83,27%;SI;;;
15;BOYACÁ;15531;PAUNA;BARRIDO;3;1083;1300;83,31%;SI;;;
73;TOLIMA;73226;CUNDAY;BARRIDO;3;949;1139;83,32%;SI;;;
15;BOYACÁ;15325;GUAYATÁ;BARRIDO;3;440;528;83,33%;SI;;;
15;BOYACÁ;15660;SAN EDUARDO;BARRIDO;3;260;312;83,33%;SI;;;
50;META;50223;SAN LUIS DE CUBARRAL;BARRIDO;3;1016;1219;83,35%;SI;;;
68;SANTANDER;68207;CONCEPCIÓN;BARRIDO;2;959;1150;83,39%;SI;;;
25;CUNDINAMARCA;25095;BITUIMA;BARRIDO;2;278;333;83,48%;SI;;;
15;BOYACÁ;15753;SOATÁ;BARRIDO;3;896;1073;83,50%;SI;;;
41;HUILA;41799;TELLO;BARRIDO;3;1201;1437;83,58%;SI;;;
05;ANTIOQUIA;5819;TOLEDO;BARRIDO;2;347;415;83,61%;SI;;;
85;CASANARE;85230;OROCUÉ;BARRIDO;3;455;544;83,64%;SI;;;
15;BOYACÁ;15861;VENTAQUEMADA;BARRIDO;3;407;486;83,74%;SI;;;
20;CESAR;20517;PAILITAS;BARRIDO;3;1001;1195;83,77%;SI;;;
50;META;50689;SAN MARTÍN;BARRIDO;3;1716;2048;83,79%;SI;;;
15;BOYACÁ;15403;LA UVITA;BARRIDO;3;507;605;83,80%;SI;;;
15;BOYACÁ;15507;OTANCHE;BARRIDO;3;1235;1473;83,84%;SI;;;
25;CUNDINAMARCA;25793;TAUSA;BARRIDO;2;784;935;83,85%;SI;;;
25;CUNDINAMARCA;25491;NOCAIMA;BARRIDO;2;281;335;83,88%;SI;;;
19;CAUCA;19533;PIAMONTE;BARRIDO;3;531;633;83,89%;SI;;;
68;SANTANDER;68229;CURITÍ;BARRIDO;2;1276;1521;83,89%;SI;;;
25;CUNDINAMARCA;25151;CAQUEZA;BARRIDO;2;2368;2822;83,91%;SI;;;
41;HUILA;41378;LA ARGENTINA;BARRIDO;3;1092;1299;84,06%;SI;;;
25;CUNDINAMARCA;25862;VERGARA;BARRIDO;2;527;626;84,19%;SI;;;
25;CUNDINAMARCA;25839;UBALÁ;BARRIDO;2;43;51;84,31%;SI;;;
13;BOLÍVAR;13222;CLEMENCIA;BARRIDO;2;1878;2226;84,37%;SI;;;
25;CUNDINAMARCA;25339;GUTIÉRREZ;BARRIDO;2;54;64;84,38%;SI;;;
68;SANTANDER;68377;LA BELLEZA;BARRIDO;2;881;1043;84,47%;SI;;;
19;CAUCA;19807;TIMBÍO;BARRIDO;3;2791;3304;84,47%;SI;;;
54;NORTE DE SANTANDER;54128;CACHIRÁ;BARRIDO;2;1056;1250;84,48%;SI;;;
15;BOYACÁ;15097;BOAVITA;BARRIDO;3;498;589;84,55%;SI;;;
68;SANTANDER;68209;CONFINES;BARRIDO;2;460;544;84,56%;SI;;;
66;RISARALDA;66456;MISTRATÓ;MIXTO;3;1023;1209;84,62%;SI;;;
05;ANTIOQUIA;5585;PUERTO NARE;BARRIDO;2;1664;1962;84,81%;SI;;;
50;META;50318;GUAMAL;BARRIDO;3;1017;1198;84,89%;SI;;;
15;BOYACÁ;15837;TUTA;BARRIDO;3;1065;1254;84,93%;SI;;;
15;BOYACÁ;15690;SANTA MARÍA;BARRIDO;3;429;505;84,95%;SI;;;
25;CUNDINAMARCA;25224;CUCUNUBÁ;BARRIDO;2;465;547;85,01%;SI;;;
15;BOYACÁ;15176;CHIQUINQUIRÁ;BARRIDO;3;5609;6597;85,02%;SI;;;
05;ANTIOQUIA;5501;OLAYA;BARRIDO;2;530;623;85,07%;SI;;;
25;CUNDINAMARCA;25592;QUEBRADANEGRA;BARRIDO;2;308;362;85,08%;SI;;;
76;VALLE DEL CAUCA;76233;DAGUA;MIXTO;2;937;1101;85,10%;SI;;;
19;CAUCA;19256;EL TAMBO;MIXTO;3;3433;4033;85,12%;SI;;;
76;VALLE DEL CAUCA;76845;ULLOA;BARRIDO;2;708;831;85,20%;SI;;;
05;ANTIOQUIA;5138;CAÑASGORDAS;BARRIDO;2;2507;2941;85,24%;SI;;;
85;CASANARE;85162;MONTERREY;BARRIDO;3;2311;2711;85,25%;SI;;;
17;CALDAS;17050;ARANZAZU;BARRIDO;3;677;794;85,26%;SI;;;
05;ANTIOQUIA;5031;AMALFI;BARRIDO;2;1796;2106;85,28%;SI;;;
05;ANTIOQUIA;5147;CAREPA;BARRIDO;2;3090;3623;85,29%;SI;;;
05;ANTIOQUIA;5809;TITIRIBÍ;BARRIDO;2;1952;2288;85,31%;SI;;;
68;SANTANDER;68101;BOLÍVAR;BARRIDO;2;889;1042;85,32%;SI;;;
05;ANTIOQUIA;5674;SAN VICENTE FERRER;BARRIDO;2;939;1100;85,36%;SI;;;
73;TOLIMA;73030;AMBALEMA;BARRIDO;3;914;1070;85,42%;SI;;;
54;NORTE DE SANTANDER;54206;CONVENCIÓN;MIXTO;2;1074;1257;85,44%;SI;;;
54;NORTE DE SANTANDER;54520;PAMPLONITA;BARRIDO;2;349;408;85,54%;SI;;;
25;CUNDINAMARCA;25506;VENECIA;BARRIDO;2;729;852;85,56%;SI;;;
05;ANTIOQUIA;5440;MARINILLA;BARRIDO;2;1591;1857;85,68%;SI;;;
50;META;50287;FUENTE DE ORO;BARRIDO;3;856;999;85,69%;SI;;;
15;BOYACÁ;15377;LABRANZAGRANDE;BARRIDO;3;481;561;85,74%;SI;;;
68;SANTANDER;68162;CERRITO;BARRIDO;2;1217;1419;85,76%;SI;;;
17;CALDAS;17513;PÁCORA;BARRIDO;3;1308;1525;85,77%;SI;;;
73;TOLIMA;73347;HERVEO;BARRIDO;3;971;1132;85,78%;SI;;;
68;SANTANDER;68669;SAN ANDRÉS;BARRIDO;2;1006;1171;85,91%;SI;;;
54;NORTE DE SANTANDER;54660;SALAZAR;BARRIDO;2;1477;1719;85,92%;SI;;;
